Postal Code,Borough,Neighborhood,Latitude,Longitude
11,Centro,Palacio,40.41651402387374,-3.7137077865943455
12,Centro,Embajadores,40.409868731536754,-3.7029723072372907
13,Centro,Cortes,40.41522608259914,-3.697128362755262
14,Centro,Justicia,40.4236599288787,-3.6964691043112525
15,Centro,Universidad,40.40707815787877,-3.709642073861415
16,Centro,Sol,40.41722752794292,-3.704298918157542
21,Arganzuela,Imperial,40.407818340442454,-3.7096733891967735
22,Arganzuela,Acacias,40.40153919179433,-3.707399215686851
23,Arganzuela,Chopera,40.39450792731229,-3.699684673645666
24,Arganzuela,Legazpi,40.3912349877538,-3.6951792614786796
25,Arganzuela,Delicias,40.4046982190728,-3.693278616184685
26,Arganzuela,Palos de Moguer,40.4041349957937,-3.6949432253024352
27,Arganzuela,Atocha,40.40232880453693,-3.6881925141221403
31,Retiro,Pacifico,40.40485102550965,-3.678962689512847
32,Retiro,Adelfas,40.40139501275158,-3.6706887969224606
33,Retiro,Estrella,40.41404196931364,-3.6655241572349486
34,Retiro,Ibiza,40.419355120444095,-3.674507699109315
35,Retiro,Jeronimos,40.414565090522544,-3.6856754191388403
36,Retiro,Nino Jesus,40.411802823844454,-3.673588289508188
41,Salamanca,Recoletos,40.42479753686971,-3.68554794743697
42,Salamanca,Goya,40.42527821893385,-3.6747649718603834
43,Salamanca,Fuente del Berro,40.42504278942814,-3.6640664503486273
44,Salamanca,Guindalera,40.436600717594324,-3.6662822677982723
45,Salamanca,Lista,40.43258337263713,-3.6763074626041052
46,Salamanca,Castellana,40.43372474039198,-3.6840958075751016
51,Chamartin,El Viso,40.44520624759774,-3.68525508843347
52,Chamartin,Prosperidad,40.44439680252507,-3.668755340017215
53,Chamartin,Ciudad Jardin,40.44856619418587,-3.6730583185922345
54,Chamartin,Hispanoamerica,40.45542765933839,-3.6773151616821167
55,Chamartin,Nueva Espana,40.463031316711316,-3.6785376918520893
56,Chamartin,Castilla,40.4751605553537,-3.6802497492703026
61,Tetuan,Bellas Vistas,40.45238484491096,-3.7076555701625256
62,Tetuan,Cuatro Caminos,40.45180080684858,-3.6966160394854843
63,Tetuan,Castillejos,40.461085752318624,-3.6935278860395413
64,Tetuan,Almenara,40.47077470031276,-3.69442429688333
65,Tetuan,Valdeacederas,40.46741441368391,-3.70350778550881
66,Tetuan,Berruguete,40.4598192783766,-3.704826662233367
71,Chamberi,Gaztambide,40.43510567658501,-3.7148820874653707
72,Chamberi,Arapiles,40.434514904794035,-3.7078053916991354
73,Chamberi,Trafalgar,40.43330699755515,-3.7011536117319603
74,Chamberi,Almagro,40.43288771443843,-3.6930649133047884
75,Chamberi,Rios Rosas,40.44266532509196,-3.697807414185956
76,Chamberi,Vallehermoso,40.44293907829986,-3.712039222121893
81,Fuencarral-El Pardo,El Pardo,40.534732315540545,-3.7914523047518047
82,Fuencarral-El Pardo,Fuentelarreina,40.481830277939856,-3.740332973613836
83,Fuencarral-El Pardo,Penagrande,40.47931050210381,-3.725674316190748
